datetime,close,macd_1d,macd_signal_1d,rsi_1d,stoch_1d,stoch_signal_1d,atr_1d,macd_2d,macd_signal_2d,rsi_2d,stoch_2d,stoch_signal_2d,atr_2d,macd_3d,macd_signal_3d,rsi_3d,stoch_3d,stoch_signal_3d,atr_3d,macd_1d_final,macd_2d_final,macd_3d_final,stoch_1d_final,stoch_2d_final,stoch_3d_final,target
2013-09-16,3156.25,24.8,20.23,55.88,58.94,82.01,30.89,36.4,32.09,57.32,64.95,88.67,30.5,50.83,48.1,57.58,64.95,89.91,30.52,0.7,0.7,0.7,0.1,0.1,0.1,1
2013-09-17,3186.5,25.28,21.24,61.38,81.02,78.17,31.02,37.17,32.62,60.22,83.8,86.98,30.58,51.48,48.34,59.57,83.8,89.72,30.57,0.7,0.7,0.7,0.7,0.1,0.1,1
2013-09-18,3228.0,28.68,22.73,67.39,99.03,79.66,32.14,39.5,33.35,63.73,99.15,87.96,31.16,53.2,48.69,62.06,99.15,90.57,30.96,0.7,0.7,0.7,0.7,0.7,0.7,1
2013-09-19,3228.0,31.01,24.38,67.39,94.17,91.4,30.78,41.45,34.2,63.73,95.14,88.49,30.51,54.71,49.12,62.06,95.14,90.32,30.53,0.7,0.7,0.7,0.7,0.7,0.7,0
2013-09-20,3218.25,31.71,25.85,64.65,84.46,92.55,30.27,42.63,35.09,62.34,88.08,87.66,30.27,55.75,49.59,61.13,88.08,89.56,30.37,0.7,0.7,0.7,0.1,0.7,0.1,0
2013-09-22,3216.25,31.73,27.03,64.07,83.07,87.23,28.7,43.47,35.97,62.06,87.02,86.36,29.48,56.57,50.09,60.94,87.02,88.76,29.84,0.7,0.7,0.7,0.1,0.7,0.1,0
2013-09-23,3209.75,30.87,27.79,62.14,71.23,79.59,29.44,43.8,36.79,61.1,83.58,89.46,29.82,57.07,50.59,60.31,83.58,87.74,30.06,0.7,0.7,0.7,0.1,0.1,0.1,1
2013-09-24,3212.75,30.09,28.25,62.7,73.52,75.94,29.33,44.09,37.56,61.39,85.17,89.69,29.76,57.53,51.09,60.5,85.17,86.86,30.01,0.7,0.7,0.7,0.1,0.1,0.1,1
2013-09-25,3203.0,28.35,28.27,59.61,55.59,66.78,29.02,43.8,38.22,59.92,80.0,86.5,29.59,57.6,51.55,59.54,80.0,85.21,29.89,0.7,0.7,0.7,0.1,0.1,0.1,1
2013-09-26,3230.0,28.82,28.38,64.78,87.35,72.15,29.27,44.55,38.88,62.5,94.3,86.36,29.69,58.36,52.04,61.29,94.3,88.47,29.95,0.7,0.7,0.7,0.7,0.7,0.7,1
2013-09-27,3224.25,28.4,28.39,62.93,80.59,74.51,29.16,44.84,39.51,61.62,91.26,86.89,29.62,58.82,52.52,60.71,91.26,89.3,29.9,0.7,0.7,0.7,0.7,0.7,0.7,0
2013-09-29,3206.25,26.31,27.97,57.41,59.41,75.78,28.65,44.2,40.01,58.94,81.38,85.95,29.35,58.64,52.96,58.95,81.72,87.36,29.71,0.1,0.7,0.7,0.1,0.1,0.1,0
2013-09-30,3216.25,25.17,27.41,59.53,71.18,70.39,29.8,43.93,40.42,59.94,86.35,86.41,29.9,58.68,53.37,59.62,87.02,86.46,30.07,0.1,0.7,0.7,0.7,0.1,0.7,0
2013-10-01,3245.25,26.31,27.19,64.99,94.46,75.02,30.37,44.77,40.88,62.69,97.23,88.42,30.18,59.48,53.8,61.48,97.36,87.49,30.25,0.1,0.7,0.7,0.7,0.7,0.7,0
2013-10-02,3228.5,25.56,26.87,59.96,76.78,80.81,30.27,44.68,41.28,60.22,87.43,89.66,30.14,59.65,54.22,59.85,88.92,87.7,30.22,0.1,0.7,0.7,0.1,0.1,0.7,0
2013-10-03,3204.25,22.75,26.04,53.51,36.43,69.22,32.31,43.44,41.5,56.85,73.57,86.2,31.16,59.02,54.56,57.58,76.7,86.94,30.9,0.1,0.7,0.7,0.4,0.1,0.1,1
2013-10-04,3236.5,22.86,25.41,59.72,80.76,64.65,32.86,43.57,41.72,59.94,92.0,86.33,31.48,59.3,54.9,59.66,92.95,87.8,31.12,0.1,0.7,0.7,0.7,0.7,0.7,0
